threshold,min_area,dice,iou,precision,recall,specificity,tp,fp,fn,tn
0.4,50,0.1968703137745294,0.10918255923773341,0.14410202269750053,0.31061262824536534,0.997411539564816,17198,102148,38170,39360692
0.35,50,0.19678172354023535,0.10912806625474628,0.14320617972224842,0.3144054327533159,0.9973607829542933,17408,104151,37960,39358689
0.3,50,0.19674864060956415,0.10910771789522242,0.14251791098694755,0.3176022251243028,0.997318920787252,17585,105803,37783,39357037
0.7,50,0.19671570095890828,0.10908745840517656,0.14866200501437607,0.29067331311785377,0.9976645117279953,16094,92165,39274,39370675
0.6,50,0.19670743124066573,0.10908237224163393,0.14682712764349515,0.2979157636306546,0.9975711834221764,16495,95848,38873,39366992
0.25,50,0.1966691347972821,0.10905881920902905,0.1416811298891639,0.32141309060610074,0.9972680628155501,17796,107810,37572,39355030
0.2,50,0.19666106735382433,0.10905385770720984,0.14067178399056895,0.3266868949695368,0.9972000241239607,18088,110495,37280,39352345
0.65,50,0.19644871880443548,0.10892327867693728,0.14749716875064556,0.29403265425346714,0.9976156049589944,16280,94095,39088,39368745
0.45,300,0.19423092484025578,0.10756133080421687,0.22071533653869266,0.17342147090063897,0.999140913325042,9602,33902,45766,39428938
0.5,300,0.19382445014438932,0.10731207726123698,0.22164109718220268,0.17221138565286426,0.9991514802279816,9535,33485,45833,39429355
0.55,300,0.19306344214231524,0.10684572256390346,0.22214910220874898,0.17071232482353144,0.9991613376026662,9452,33096,45916,39429744
0.6,300,0.19226317892610115,0.1063557353559013,0.22205398757429667,0.1695203005496041,0.9991667350854627,9386,32883,45982,39429957
0.65,300,0.19201303322033747,0.10620266448688062,0.22374143940349053,0.16816572751105033,0.999181407116163,9311,32304,46057,39430536
0.7,300,0.18732184064918064,0.10333982328425549,0.2220132168595893,0.1620069354290925,0.9992034785129504,8970,31433,46398,39431407
0.2,20,0.17570687363304627,0.09631504449468638,0.11965040953908934,0.33058806532057167,0.9965872957952343,18304,134675,37064,39328165
0.6,20,0.1756140175499523,0.09625924516196327,0.12391293047118912,0.3013473486616575,0.997010706781367,16685,117966,38683,39344874
0.25,20,0.175598720653056,0.09625005345332743,0.12026499973873842,0.3252420170617461,0.9966619736440663,18008,131728,37360,39331112
0.45,20,0.17549337742007237,0.09618675824619857,0.1222942799504914,0.31061262824536534,0.9968722474104753,17198,123430,38170,39339410
0.55,20,0.1753734061973699,0.09611468275083362,0.12318141276539908,0.3043093483726284,0.9969608624214579,16849,119933,38519,39342907
0.5,20,0.1753096094992869,0.0960763592643466,0.12267472905544084,0.30705461639743076,0.9969190002544166,17001,121585,38367,39341255
0.35,20,0.17528164016445943,0.09605955857471357,0.12117338125132214,0.3166991764319336,0.9967773480063777,17535,127175,37833,39335665
0.3,20,0.17524276160872043,0.09603620576273515,0.12060315173208558,0.3204016760706473,0.9967221315039668,17740,129354,37628,39333486
0.4,20,0.1752042399083752,0.0960130682812115,0.1216251288983549,0.3131592255578464,0.9968268376021595,17339,125222,38029,39337618
0.65,20,0.17518978184172065,0.09600438451256753,0.12416767840432416,0.2973919953890805,0.9970568514582326,16466,116145,38902,39346695
0.7,20,0.17507087944751654,0.09593297486500676,0.1246714836364393,0.2938701054888407,0.9971051247198631,16271,114240,39097,39348600
0.5,10,0.1720612945136179,0.0941285908557818,0.11924551984436757,0.3088607137821691,0.9967992927016911,17101,126309,38267,39336531
0.45,10,0.1720198898038793,0.09410380826842402,0.11873106178331079,0.3120936281008508,0.9967498791267938,17280,128259,38088,39334581
0.2,10,0.17191262873219865,0.09403961289728717,0.116065441023901,0.33134662622216177,0.9964594540078718,18346,139720,37022,39323120
0.35,10,0.17183179639633167,0.09399124000846128,0.11769421416420478,0.31819823726126645,0.996653180561764,17618,132075,37750,39330765
0.25,10,0.17177230913127883,0.09395564348659956,0.11661357336816201,0.32594639504179407,0.9965356776146878,18047,136712,37321,39326128
0.4,10,0.17176964631140446,0.09395405013887431,0.11811957701248563,0.31471246930872143,0.9967033543455058,17425,130095,37943,39332745
0.55,10,0.1717104562036748,0.09391863383505852,0.11940877937843196,0.3055374945942505,0.9968386461795452,16917,124756,38451,39338084
0.3,10,0.17162002555416578,0.09386452923197793,0.11705366713937242,0.3214853345014903,0.9965976346355205,17800,134267,37568,39328573
0.6,10,0.17148978483474547,0.09378661569243223,0.11972032576810425,0.3021420315109424,0.9968830170357735,16729,123005,38639,39339835
0.65,10,0.1713758768291765,0.09371848192438087,0.1201528425582229,0.2987285074537869,0.9969308341720972,16540,121118,38828,39341722
0.7,10,0.17129226737000633,0.09366847655224285,0.12067335392355945,0.29506212976276797,0.9969833646032572,16337,119045,39031,39343795
0.2,5,0.17109611357146337,0.09355117830155468,0.11524811578036864,0.33196069933297284,0.9964244337204318,18380,141102,36988,39321738
0.5,5,0.1710797146381413,0.09354137302316659,0.11824912291003722,0.30923999423296417,0.996764703199263,17122,127674,38246,39335166
0.45,5,0.17101750222895767,0.09350417647071876,0.1177395637671368,0.31236454270856157,0.9967159738123258,17295,129597,38073,39333243
0.55,5,0.17093655163097035,0.09345578021799299,0.11856109876278996,0.3062057506266037,0.9968060078798182,16954,126044,38414,39336796
0.2,0,0.17084395651731127,0.09340042755249953,0.11498909123287891,0.3322135529668362,0.9964125998027512,18394,141569,36974,39321271
0.6,5,0.1708011138359959,0.09337481841506946,0.11891884229133615,0.3029908972817694,0.9968503280554568,16776,124295,38592,39338545
0.25,5,0.17078923610354185,0.0933677187335285,0.11566607551577449,0.32628955354489436,0.9964998717781083,18066,138125,37302,39324715
0.4,5,0.17077241602504675,0.09335766501967571,0.11712848885035397,0.3150736887856691,0.9966679032730539,17445,131494,37923,39331346
0.35,5,0.17072414928838764,0.09332881600463029,0.11662829774869261,0.3184149689474351,0.996616209071623,17630,133534,37738,39329306
0.45,0,0.17070078775522643,0.0933148533695743,0.11741912718346496,0.3125090304993406,0.9967042919364142,17303,130058,38065,39332782
