threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.375,41,0.4071702945785787,0.47939698509902956,0.35385756692535675,1431,1554,2613,2091554
0.375,48,0.4071702945785787,0.47939698509902956,0.35385756692535675,1431,1554,2613,2091554
0.375,54,0.4071702945785787,0.47939698509902956,0.35385756692535675,1431,1554,2613,2091554
0.525,29,0.40710024743094714,0.4945210323455211,0.3459446094594598,1399,1430,2645,2091678
0.525,35,0.40710024743094714,0.4945210323455211,0.3459446094594598,1399,1430,2645,2091678
0.525,41,0.40710024743094714,0.4945210323455211,0.3459446094594598,1399,1430,2645,2091678
0.525,48,0.40710024743094714,0.4945210323455211,0.3459446094594598,1399,1430,2645,2091678
0.575,22,0.40704845823685043,0.5010845988788559,0.3427299704889392,1386,1380,2658,2091728
0.575,29,0.40704845823685043,0.5010845988788559,0.3427299704889392,1386,1380,2658,2091728
0.575,35,0.40704845823685043,0.5010845988788559,0.3427299704889392,1386,1380,2658,2091728
0.575,41,0.40704845823685043,0.5010845988788559,0.3427299704889392,1386,1380,2658,2091728
0.575,48,0.40704845823685043,0.5010845988788559,0.3427299704889392,1386,1380,2658,2091728
0.45,29,0.4069301260872093,0.4833333335090704,0.35138476771726396,1421,1519,2623,2091589
0.425,29,0.4065620542929298,0.48044504400524446,0.3523738874005011,1425,1541,2619,2091567
0.5,22,0.40630422217953954,0.4892061283115578,0.3474282889843155,1405,1467,2639,2091641
0.55,16,0.4062909568361306,0.49415515427057916,0.3449554897762227,1395,1428,2649,2091680
0.55,22,0.4062909568361306,0.49415515427057916,0.3449554897762227,1395,1428,2649,2091680
0.35,35,0.40613566008920127,0.47126061415047016,0.35682492597506804,1443,1619,2601,2091489
0.475,29,0.40581378624178815,0.4853700518122651,0.34866468858836186,1410,1495,2634,2091613
0.575,10,0.40579710153626153,0.4973089345183679,0.3427299704889392,1386,1401,2658,2091707
0.575,16,0.40579710153626153,0.4973089345183679,0.3427299704889392,1386,1401,2658,2091707
0.55,10,0.4057001600398865,0.49241087204644873,0.3449554897762227,1395,1438,2649,2091670
0.525,22,0.4056836306501836,0.4903610236626846,0.3459446094594598,1399,1454,2645,2091654
0.6,22,0.40566037744609956,0.5021897812035805,0.3402571712808464,1376,1364,2668,2091744
0.6,29,0.40566037744609956,0.5021897812035805,0.3402571712808464,1376,1364,2668,2091744
0.6,35,0.40566037744609956,0.5021897812035805,0.3402571712808464,1376,1364,2668,2091744
